id,surahs,ayahs,ayahs-translation,clean_translation,theme,emotion,sentiment
22,2,15,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).",allah will throw back their mockery on them and give them rope in their trespasses so they will wander like blind ones to and fro,Tawhid (Oneness of God),"Humiliation, Distress, Hostility, Contempt, Awe, Frustration, Shame, Remorse, Suffering, Regret, Anguish, Disappointment",Negative
23,2,16,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,",these are they who have bartered guidance for error but their traffic is profitless and they have lost true direction,,"Shame, Suffering, Distress, Frustration, Anguish, Despair, Disappointment, Contempt, Hostility, Envy, Regret, Ecstacy, Remorse",Negative
24,2,17,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.",their similitude is that of a man who kindled a fire when it lighted all around him allah took away their light and left them in utter darkness so they could not see,Good vs Evil (Accountability),"Courage, Empaty, Hostility",Negative
25,2,18,"Deaf, dumb, and blind, they will not return (to the path).",deaf dumb and blind they will not return to the path,Moral and Righteous Living,"Shame, Suffering, Distress, Despair, Frustration, Anguish, Contempt, Hostility, Humiliation, Disappointment, Fear, Remorse, Regret, Hatred",Negative
26,2,19,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!",or another similitude is that of a rainladen cloud from the sky in it are zones of darkness and thunder and lightning they press their fingers in their ears to keep out the stunning thunderclap the while they are in terror of death but allah is ever round the rejecters of faith,,"Fear, Distress",Negative
27,2,20,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",the lightning all but snatches away their sight every time the light helps them they walk therein and when the darkness grows on them they stand still and if allah willed he could take away their faculty of hearing and seeing for allah hath power over all things,Tawhid (Oneness of God),"Distress, Suffering, Fear, Frustration, Anguish, Despair, Humiliation, Awe, Anxiousness, Contempt, Hostility",Negative
28,2,21,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;",o ye people adore your guardianlord who created you and those who came before you that ye may have the chance to learn righteousness,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness, Creation and Signs, Good vs Evil (Accountability), Prophets and Revelation","Affection, Gratitude, Awe, Trust, Ecstacy, Grace, Empaty, Pride, Courage, Hope",Positive
29,2,22,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).",who has made the earth your couch and the heavens your canopy and sent down rain from the heavens and brought forth therewith fruits for your sustenance then set not up rivals unto allah when ye know the truth,"Tawhid (Oneness of God), Creation and Signs, Worship and Obedience, Moral and Righteous Living, Justice and Social Fairness","Grace, Gratitude, Awe, Trust, Wonder, Courage, Affection, Love",Positive
30,2,23,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.",and if ye are in doubt as to what we have revealed from time to time to our servant then produce a sura like thereunto and call your witnesses or helpers if there are any besides allah if your doubts are true,Prophets and Revelation,,Neutral
31,2,24,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.",but if ye cannot and of a surety ye cannot then fear the fire whose fuel is men and stones which is prepared for those who reject faith,"Afterlife and Judgment, Moral and Righteous Living","Fear, Contempt, Hostility, Distress, Anxiousness, Suffering, Remorse",Negative
32,2,25,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).",but give glad tidings to those who believe and work righteousness that their portion is gardens beneath which rivers flow every time they are fed with fruits therefrom they say why this is what we were fed with before for they are given things in similitude and they have therein companions pure and holy and they abide therein for ever,"Moral and Righteous Living, Worship and Obedience, Justice and Social Fairness, Prophets and Revelation, Tawhid (Oneness of God)","Joy, Grace, Trust, Gratitude, Hope, Awe, Ecstacy, Courage, Contentment, Wonder, Empaty, Affection",Positive
33,2,26,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-",allah disdains not to use the similitude of things lowest as well as highest those who believe know that it is truth from their lord but those who reject faith say what means allah by this similitude by it he causes many to stray and many he leads into the right path but he causes not to stray except those who forsake the path,,,Negative
34,2,27,"Those who break AllahLs Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.",those who break allahls covenant after it is ratified and who sunder what allah has ordered to be joined and do mischief on earth these cause loss only to themselves,Good vs Evil (Accountability),"Contempt, Suffering, Distress, Hostility, Anguish, Shame, Frustration, Regret",Negative
35,2,28,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.",how can ye reject the faith in allah seeing that ye were without life and he gave you life then will he cause you to die and will again bring you to life and again to him will ye return,"Tawhid (Oneness of God), Afterlife and Judgment, Worship and Obedience, Good vs Evil (Accountability)","Contempt, Wonder, Grace, Trust, Awe, Distress, Hostility, Courage, Hope",Negative
36,2,29,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.",it is he who hath created for you all things that are on earth moreover his design comprehended the heavens for he gave order and perfection to the seven firmaments and of all things he hath perfect knowledge,"Tawhid (Oneness of God), Creation and Signs, Moral and Righteous Living, Worship and Obedience","Trust, Grace, Ecstacy, Wonder, Awe, Joy",Positive
37,2,30,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""",behold thy lord said to the angels i will create a vicegerent on earth they said wilt thou place therein one who will make mischief therein and shed blood whilst we do celebrate thy praises and glorify thy holy name he said i know what ye know not,"Prophets and Revelation, Good vs Evil (Accountability)","Contempt, Hostility, Envy, Humiliation, Distress, Anguish",Negative
38,2,31,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""",and he taught adam the names of all things then he placed them before the angels and said tell me the names of these if ye are right,"Moral and Righteous Living, Creation and Signs",,Positive
39,2,32,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""",they said glory to thee of knowledge we have none save what thou hast taught us in truth it is thou who art perfect in knowledge and wisdom,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness, Prophets and Revelation, Creation and Signs, Good vs Evil (Accountability)","Awe, Gratitude, Trust, Pride, Grace, Wonder, Courage, Empaty, Joy, Ecstacy, Affection, Hope",Positive
40,2,33,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""",he said o adam tell them their names when he had told them allah said did i not tell you that i know the secrets of heaven and earth and i know what ye reveal and what ye conceal,"Prophets and Revelation, Tawhid (Oneness of God), Creation and Signs, Worship and Obedience","Awe, Wonder, Hostility, Trust, Distress",Negative
41,2,34,"And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.",and behold we said to the angels bow down to adam and they bowed down not so iblis he refused and was haughty he was of those who reject faith,"Worship and Obedience, Good vs Evil (Accountability), Prophets and Revelation, Creation and Signs, Moral and Righteous Living","Hostility, Contempt, Humiliation, Shame, Disappointment, Courage, Distress, Awe, Wonder, Anguish, Suffering, Regret, Frustration",Negative
42,2,35,"We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""",we said o adam dwell thou and thy wife in the garden and eat of the bountiful things therein as where and when ye will but approach not this tree or ye run into harm and transgression,"Moral and Righteous Living, Worship and Obedience, Good vs Evil (Accountability), Justice and Social Fairness, Creation and Signs, Prophets and Revelation, Tawhid (Oneness of God)","Trust, Hostility, Courage, Empaty, Contempt, Anxiousness, Regret, Grace, Distress, Affection, Remorse, Awe, Anguish",Negative
43,2,36,"Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""",then did satan make them slip from the garden and get them out of the state of felicity in which they had been we said get ye down all ye people with enmity between yourselves on earth will be your dwellingplace and your means of livelihood  for a time,"Good vs Evil (Accountability), Prophets and Revelation","Hostility, Contempt, Humiliation, Fear, Distress, Hatred, Anguish, Envy, Remorse, Regret, Anger, Ecstacy, Grief, Suffering, Disappointment, Despair",Negative
44,2,37,"Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.",then learnt adam from his lord words of inspiration and his lord turned towards him for he is oftreturning most merciful,"Worship and Obedience, Moral and Righteous Living, Prophets and Revelation, Tawhid (Oneness of God), Justice and Social Fairness, Creation and Signs","Grace, Awe, Trust, Empaty, Affection, Courage, Hope, Gratitude, Wonder, Love, Joy, Pleasure",Positive
45,2,38,"We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.",we said get ye down all from here and if as is sure there comes to you guidance from me whosoever follows my guidance on them shall be no fear nor shall they grieve,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation, Justice and Social Fairness","Trust, Courage, Grace, Empaty, Grief, Love, Distress, Hope, Affection, Ecstacy, Awe",Positive
46,2,39,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""",but those who reject faith and belie our signs they shall be companions of the fire they shall abide therein,"Afterlife and Judgment, Good vs Evil (Accountability), Prophets and Revelation, Creation and Signs","Contempt, Hostility, Shame, Distress, Suffering",Negative
47,2,40,"O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.",o children of israel call to mind the special favour which i bestowed upon you and fulfil your covenant with me as i fulfil my covenant with you and fear none but me,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Creation and Signs, Justice and Social Fairness, Prophets and Revelation","Affection, Trust, Grace, Gratitude, Courage, Love, Awe, Empaty, Joy, Fear, Wonder, Hope, Contentment",Positive
48,2,41,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.",and believe in what i reveal confirming the revelation which is with you and be not the first to reject faith therein nor sell my signs for a small price and fear me and me alone,"Prophets and Revelation, Creation and Signs, Moral and Righteous Living, Worship and Obedience","Fear, Trust, Hostility, Courage, Empaty, Ecstacy",Positive
49,2,42,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).",and cover not truth with falsehood nor conceal the truth when ye know what it is,"Moral and Righteous Living, Tawhid (Oneness of God), Justice and Social Fairness, Prophets and Revelation, Good vs Evil (Accountability), Creation and Signs","Courage, Trust, Grace, Contempt, Distress, Ecstacy",Negative
50,2,43,And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,and be steadfast in prayer practise regular charity and bow down your heads with those who bow down in worship,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Justice and Social Fairness","Grace, Trust, Ecstacy, Empaty, Love, Awe, Courage, Contentment, Affection, Hope",Positive
51,2,44,"Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?",do ye enjoin right conduct on the people and forget to practise it yourselves and yet ye study the scripture will ye not understand,"Moral and Righteous Living, Worship and Obedience, Prophets and Revelation, Justice and Social Fairness","Shame, Wonder, Frustration, Distress, Contempt, Trust, Regret, Remorse, Anguish, Suffering",Negative
52,2,45,"Nay, seek (AllahLs) help with patient perseverance and prayer: It is indeed hard, except to those who bring a lowly spirit,-",nay seek allahls help with patient perseverance and prayer it is indeed hard except to those who bring a lowly spirit,Tawhid (Oneness of God),"Distress, Trust, Suffering, Awe, Empaty, Grief, Contempt",Negative
53,2,46,"Who bear in mind the certainty that they are to meet their Lord, and that they are to return to Him.",who bear in mind the certainty that they are to meet their lord and that they are to return to him,"Worship and Obedience, Afterlife and Judgment, Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation, Creation and Signs","Courage, Trust, Ecstacy, Grace, Empaty, Awe, Pride, Joy, Wonder",Positive
54,2,47,"Children of Israel! call to mind the (special) favour which I bestowed upon you, and that I preferred you to all other (for My Message).",children of israel call to mind the special favour which i bestowed upon you and that i preferred you to all other for my message,"Worship and Obedience, Tawhid (Oneness of God), Moral and Righteous Living, Prophets and Revelation, Justice and Social Fairness","Affection, Gratitude, Trust, Awe, Grace, Love, Empaty, Courage, Desire, Joy, Wonder, Contentment",Positive
55,2,48,"Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).",then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her nor shall compensation be taken from her nor shall anyone be helped from outside,"Moral and Righteous Living, Afterlife and Judgment, Justice and Social Fairness, Tawhid (Oneness of God), Good vs Evil (Accountability), Prophets and Revelation","Fear, Distress, Suffering, Hostility, Anxiousness, Grief, Trust, Contempt, Despair, Regret, Empaty, Anguish, Courage, Remorse",Negative
56,2,49,"And remember, We delivered you from the people of Pharaoh: They set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your Lord.",and remember we delivered you from the people of pharaoh they set you hard tasks and punishments slaughtered your sons and let your womenfolk live therein was a tremendous trial from your lord,"Good vs Evil (Accountability), Justice and Social Fairness, Prophets and Revelation","Humiliation, Distress, Anguish, Suffering, Shame, Frustration, Awe, Remorse, Empaty, Trust",Negative
57,2,50,And remember We divided the sea for you and saved you and drowned PharaohLs people within your very sight.,and remember we divided the sea for you and saved you and drowned pharaohls people within your very sight,"Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living, Good vs Evil (Accountability)","Courage, Grace, Wonder, Awe, Trust, Affection, Gratitude, Empaty, Distress, Ecstacy",Positive
58,2,51,"And remember We appointed forty nights for Moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.",and remember we appointed forty nights for moses and in his absence ye took the calf for worship and ye did grievous wrong,"Good vs Evil (Accountability), Worship and Obedience","Shame, Anguish, Regret, Contempt, Remorse, Distress, Humiliation, Suffering, Grief, Hostility",Negative
59,2,52,Even then We did forgive you; there was a chance for you to be grateful.,even then we did forgive you there was a chance for you to be grateful,"Moral and Righteous Living, Good vs Evil (Accountability), Tawhid (Oneness of God), Justice and Social Fairness","Gratitude, Empaty, Grace, Affection, Courage, Trust, Remorse, Hope, Contentment, Ecstacy, Awe, Love, Joy, Regret, Wonder, Desire, Distress",Positive
60,2,53,And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.,and remember we gave moses the scripture and the criterion between right and wrong there was a chance for you to be guided aright,"Moral and Righteous Living, Good vs Evil (Accountability)",,Negative
61,2,54,"And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker."" Then He turned towards you (in forgiveness): For He is Oft-Returning, Most Merciful.",and remember moses said to his people o my people ye have indeed wronged yourselves by your worship of the calf so turn in repentance to your maker and slay yourselves the wrongdoers that will be better for you in the sight of your maker then he turned towards you in forgiveness for he is oftreturning most merciful,"Moral and Righteous Living, Prophets and Revelation, Worship and Obedience, Good vs Evil (Accountability)","Grace, Remorse, Regret, Courage",Positive
62,2,55,"And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",and remember ye said o moses we shall never believe in thee until we see allah manifestly but ye were dazed with thunder and lighting even as ye looked on,"Prophets and Revelation, Tawhid (Oneness of God), Creation and Signs","Awe, Distress, Regret, Anxiousness, Frustration, Disappointment",Negative
63,2,56,Then We raised you up after your death: Ye had the chance to be grateful.,then we raised you up after your death ye had the chance to be grateful,"Tawhid (Oneness of God), Worship and Obedience, Moral and Righteous Living, Afterlife and Judgment, Justice and Social Fairness, Good vs Evil (Accountability), Creation and Signs","Gratitude, Affection, Contentment, Grace, Empaty, Courage, Trust, Awe, Hope, Joy, Wonder, Ecstacy, Pride, Happiness, Grief, Love, Pleasure",Positive
64,2,57,"And We gave you the shade of clouds and sent down to you Manna and quails, saying: ""Eat of the good things We have provided for you:"" (But they rebelled); to us they did no harm, but they harmed their own souls.",and we gave you the shade of clouds and sent down to you manna and quails saying eat of the good things we have provided for you but they rebelled to us they did no harm but they harmed their own souls,Good vs Evil (Accountability),"Hostility, Contempt, Regret, Remorse, Distress, Anguish, Envy, Empaty",Negative
65,2,58,"And remember We said: ""Enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and We shall forgive you your faults and increase (the portion of) those who do good.""",and remember we said enter this town and eat of the plenty therein as ye wish but enter the gate with humility in posture and in words and we shall forgive you your faults and increase the portion of those who do good,"Moral and Righteous Living, Worship and Obedience, Justice and Social Fairness, Prophets and Revelation, Tawhid (Oneness of God), Good vs Evil (Accountability)","Empaty, Grace, Trust, Remorse, Humiliation, Regret, Hope, Ecstacy, Love, Affection, Gratitude, Contentment",Positive
66,2,59,"But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven, for that they infringed (Our command) repeatedly.",but the transgressors changed the word from that which had been given them so we sent on the transgressors a plague from heaven for that they infringed our command repeatedly,"Good vs Evil (Accountability), Moral and Righteous Living, Worship and Obedience, Justice and Social Fairness, Tawhid (Oneness of God), Prophets and Revelation, Creation and Signs","Suffering, Contempt, Anguish, Distress, Frustration, Hostility, Regret, Shame, Ecstacy, Humiliation, Remorse, Trust, Despair, Envy, Fear, Hatred, Anxiousness, Anger, Disappointment",Negative
67,2,60,"And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah, and do no evil nor mischief on the (face of the) earth.",and remember moses prayed for water for his people we said strike the rock with thy staff then gushed forth therefrom twelve springs each group knew its own place for water so eat and drink of the sustenance provided by allah and do no evil nor mischief on the face of the earth,"Moral and Righteous Living, Worship and Obedience, Tawhid (Oneness of God), Good vs Evil (Accountability), Justice and Social Fairness, Prophets and Revelation, Creation and Signs","Trust, Courage, Wonder, Grace, Gratitude, Love, Affection, Awe, Empaty, Hope, Contentment",Positive
68,2,61,"And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth, -its pot-herbs, and cucumbers, Its garlic, lentils, and onions."" He said: ""Will ye exchange the better for the worse? Go ye down to any town, and ye shall find what ye want!"" They were covered with humiliation and misery; they drew on themselves the wrath of Allah. This because they went on rejecting the Signs of Allah and slaying His Messengers without just cause. This because they rebelled and went on transgressing.",and remember ye said o moses we cannot endure one kind of food always so beseech thy lord for us to produce for us of what the earth groweth its potherbs and cucumbers its garlic lentils and onions he said will ye exchange the better for the worse go ye down to any town and ye shall find what ye want they were covered with humiliation and misery they drew on themselves the wrath of allah this because they went on rejecting the signs of allah and slaying his messengers without just cause this because they rebelled and went on transgressing,"Good vs Evil (Accountability), Creation and Signs, Prophets and Revelation","Humiliation, Anguish, Suffering, Shame, Distress, Despair, Frustration, Hostility, Contempt, Regret, Grief, Rage, Anger, Remorse, Disappointment, Hatred, Anxiousness, Fear, Awe",Negative
69,2,62,"Those who believe (in the QurLan), and those who follow the Jewish (scriptures), and the Christians and the Sabians,- any who believe in Allah and the Last Day, and work righteousness, shall have their reward with their Lord; on them shall be no fear, nor shall they grieve.",those who believe in the qurlan and those who follow the jewish scriptures and the christians and the sabians any who believe in allah and the last day and work righteousness shall have their reward with their lord on them shall be no fear nor shall they grieve,"Moral and Righteous Living, Afterlife and Judgment, Worship and Obedience, Tawhid (Oneness of God), Good vs Evil (Accountability), Prophets and Revelation","Courage, Trust, Grace, Awe, Hope",Positive
70,2,63,"And remember We took your covenant and We raised above you (The towering height) of Mount (Sinai) : (Saying): ""Hold firmly to what We have given you and bring (ever) to remembrance what is therein: Perchance ye may fear Allah.""",and remember we took your covenant and we raised above you the towering height of mount sinai  saying hold firmly to what we have given you and bring ever to remembrance what is therein perchance ye may fear allah,"Worship and Obedience, Moral and Righteous Living, Tawhid (Oneness of God), Prophets and Revelation, Good vs Evil (Accountability)","Fear, Trust, Courage, Anxiousness",Positive
71,2,64,"But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you, ye had surely been among the lost.",but ye turned back thereafter had it not been for the grace and mercy of allah to you ye had surely been among the lost,"Tawhid (Oneness of God), Moral and Righteous Living, Good vs Evil (Accountability)","Grace, Courage, Gratitude, Regret, Wonder, Trust, Remorse, Empaty, Awe, Distress, Grief, Hope, Love",Negative
72,2,65,"And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes, despised and rejected.""",and well ye knew those amongst you who transgressed in the matter of the sabbath we said to them be ye apes despised and rejected,"Good vs Evil (Accountability), Moral and Righteous Living","Contempt, Hostility, Hatred, Shame, Regret, Humiliation, Anguish, Remorse, Distress",Negative
